Item Name,Item Category/Brand,Regular Price,Sale Price,Total Sale Discount,Discount Ratio
Whole Blends Honey Treasure Shampoo,Garnier,$5.69,$3.99,$1.70,0.2988
Whole Blends Oat Delicacy Conditioner,Garnier,$5.69,$3.99,$1.70,0.2988
Whole Blends Oat Delicacy Shampoo,Garnier,$5.69,$3.99,$1.70,0.2988
Complete Vanilla Bottle Supplement Drink,Pediasure,$11.99,$8.49,$3.50,0.2919
Color Radiance Hair Expertise Conditioner,L'Oreal,$5.59,$3.99,$1.60,0.2862
Color Radiance Hair Expertise Dry Conditioner,L'Oreal,$5.59,$3.99,$1.60,0.2862
Extra Oil Dry Hair Expertise Conditioner,L'Oreal,$5.59,$3.99,$1.60,0.2862
Extra Oil Hair Expertise Shampoo,L'Oreal,$5.59,$3.99,$1.60,0.2862
Fibralogy Shampoo,L'Oreal,$5.59,$3.99,$1.60,0.2862
Hair Expertise Color Radiance Shampoo,L'Oreal,$5.59,$3.99,$1.60,0.2862
Hair Expertise Dry Color Radiance Shampoo,L'Oreal,$5.59,$3.99,$1.60,0.2862
Hair Expertise TR5 Cica Conditioner,L'Oreal,$5.59,$3.99,$1.60,0.2862
Hair Expertise TR5 Cica Shampoo,L'Oreal,$5.59,$3.99,$1.60,0.2862
Hair Expertise Volume Collagen Shampoo,L'Oreal,$5.59,$3.99,$1.60,0.2862
EB17 Toothbrushes,Oral-B,$34.99,$24.99,$10.00,0.2858
Satin Mint 50M Dental Floss,Oral-B,$3.99,$2.99,$1.00,0.2506
Goat Milk Soap,Caprina by Canus,$2.29,$1.79,$0.50,0.2183
18F 5-In-1 Body Wash,Irish Spring,$4.99,$3.99,$1.00,0.2004
Green Apple Foaming Hand Soap,Attitude,$4.99,$3.99,$1.00,0.2004
Original Body Wash,Irish Spring,$4.99,$3.99,$1.00,0.2004
Ultimate Clear Cool Essentials Antiperspirant,Dove,$4.99,$3.99,$1.00,0.2004
Anti-aging complex,Zorah Biocosmétiques,$104.99,$83.99,$21.00,0.2000
Clean Wear Ultra Thin Regular Long With Wings Pads,U By Kotex,$5.59,$4.49,$1.10,0.1968
Scope Classic Original Mint Mouthwash,Crest,$6.19,$4.99,$1.20,0.1939
Fresh Expression Classic Coconut Butter Antiperspi...,Secret,$4.29,$3.49,$0.80,0.1865
Fresh Expression Ooh La La Lavender Antiperspirant,Secret,$4.29,$3.49,$0.80,0.1865
Outlast Clear Gel Protect Powder Antiperspirant,Secret,$4.29,$3.49,$0.80,0.1865
Outlast Clear Gel Unscented Antiperspirant,Secret,$4.29,$3.49,$0.80,0.1865
Men Care Deep Clean Shampoo,Dove,$10.99,$8.99,$2.00,0.1820
Moisture Therapy Daily Conditioner,Dove,$10.99,$8.99,$2.00,0.1820
Moisture Therapy Daily Shampoo,Dove,$10.99,$8.99,$2.00,0.1820
Ice Chill Deodorant,Axe,$5.99,$4.99,$1.00,0.1669
Men + Care Invisible Solid Extra Fresh Antiperspir...,Dove,$5.99,$4.99,$1.00,0.1669
Phoenix Deodorant,Axe,$5.99,$4.99,$1.00,0.1669
Facial Cleansing Aloe Vera Hydrating Wipes,St. Ives,$7.59,$6.49,$1.10,0.1449
Complete Whitening + Deep Clean Toothpaste,Crest,$3.49,$2.99,$0.50,0.1433
Invisible Solid Sweet Surrender Anti Perspirant,Ban,$3.49,$2.99,$0.50,0.1433
Complete Clean Scented Baby Wipes,Pampers,$10.49,$8.99,$1.50,0.1430
Barely There Liners,U By Kotex,$5.19,$4.49,$0.70,0.1349
Click Regular Absorbency Tampons,U By Kotex,$5.19,$4.49,$0.70,0.1349
Click Super Absorbency Tampons,U By Kotex,$5.19,$4.49,$0.70,0.1349
Energizing Coffee Facial Scrub,St. Ives,$5.19,$4.49,$0.70,0.1349
Cool Moisture Bar Soap,Dove,$3.99,$3.49,$0.50,0.1253
Mens Deep Clean Bar,Dove,$3.99,$3.49,$0.50,0.1253
Flex 2 Hybrid Blue Razors,Bic,$7.99,$6.99,$1.00,0.1252
Men Extra Fresh Body Wash,Dove,$5.69,$4.99,$0.70,0.1230
Aquarium Liquid Pump Hand Soap,Softsoap,$2.79,$2.49,$0.30,0.1075
Cotton Swabs,Q-Tips,$4.99,$4.49,$0.50,0.1002
Go Blonder Shampoo,Sheer Blonde,$9.99,$8.99,$1.00,0.1001
Strawberry Apple Puffs,Gerber Graduates,$3.29,$2.99,$0.30,0.0912
Refill Pouch Coconut Water & Mango Hand Soap,Dial,$5.49,$4.99,$0.50,0.0911
Blemish Fighting Ice Cleanser,Biore,$7.69,$6.99,$0.70,0.0910
Deep Cleansing Pore Strips,Biore,$7.69,$6.99,$0.70,0.0910
Styling Aid Flexible Messy Paste,Axe,$7.69,$6.99,$0.70,0.0910
Extra Hold Hairspray,Tresemme,$5.99,$5.49,$0.50,0.0835
Ultra Thin Pads,Poise,$5.99,$5.49,$0.50,0.0835
High Endurance Pure Sport Deodorant,Old Spice,$3.79,$3.49,$0.30,0.0792
Moisture Rich Shampoo,Tresemme,$6.49,$5.99,$0.50,0.0770
Flex 3 Hybrid Black Razors,Bic,$7.49,$6.99,$0.50,0.0668
Foamy Regular Shave Cream,Gillette,$3.19,$2.99,$0.20,0.0627
Whitening Plus Tartar Fighting Toothpaste,Sensodyne,$5.29,$4.99,$0.30,0.0567
Excite Body Wash,Axe,$5.19,$4.99,$0.20,0.0385
Phoenix Body Wash,Axe,$5.19,$4.99,$0.20,0.0385
Regular Tampons,Tampax,$9.29,$8.99,$0.30,0.0323
